dr_no;date_rptd;date_occ;time_occ;area;area_name;rpt_dist_no;part_1_2;crm_cd;crm_cd_desc;mocodes;vict_age;vict_sex;vict_descent;premis_cd;premis_desc;weapon_used_cd;weapon_desc;status;status_desc;crm_cd_1;crm_cd_2;crm_cd_3;crm_cd_4;location;cross_street;lat;lon
200604838;01/18/2020 12:00:00 AM;01/18/2020 12:00:00 AM;1100;6;Hollywood;676;2;901;VIOLATION OF RESTRAINING ORDER;2000 2038;22;F;A;102;SIDEWALK;511;VERBAL THREAT;AA;Adult Arrest;901;;;;800 N  HUDSON                       AV;;34.0853;-118.3321
200100586;02/06/2020 12:00:00 AM;02/06/2020 12:00:00 AM;1300;1;Central;111;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;0344 1822 2001 0400;62;M;A;146;PATIO*;;;AA;Adult Arrest;341;;;;800 N  HILL                         ST;;34.0628;-118.2395
200514973;10/07/2020 12:00:00 AM;10/07/2020 12:00:00 AM;1340;5;Harbor;532;1;236;INTIMATE PARTNER - AGGRAVATED ASSAULT;0913 0329 1309 1814 2000 0431 0447;23;F;H;501;SINGLE FAMILY DWELLING;503;CAUSTIC CHEMICAL/POISON;AO;Adult Other;236;;;;1200    GULF                         AV;;33.7865;-118.2737
200310880;05/05/2020 12:00:00 AM;05/04/2020 12:00:00 AM;1600;3;Southwest;397;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS);1300 0329;44;F;H;122;VEHICLE, PASSENGER/TRUCK;;;IC;Invest Cont;740;;;;RAYMOND;MARTIN LUTHER KING JR        BL;34.0109;-118.298
200800704;06/26/2020 12:00:00 AM;06/26/2020 12:00:00 AM;2150;8;West LA;813;2;901;VIOLATION OF RESTRAINING ORDER;2038;42;F;O;503;HOTEL;;;IC;Invest Cont;901;;;;100 N  CHURCH                       LN;;34.0731;-118.4681
200217045;11/03/2020 12:00:00 AM;11/03/2020 12:00:00 AM;1230;2;Rampart;275;1;440;THEFT PLAIN - PETTY ($950 & UNDER);0325 0104 1822;0;X;X;401;MINI-MART;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;440;;;;1800 W  OLYMPIC                      BL;;34.0502;-118.2765
200800869;11/24/2020 12:00:00 AM;11/24/2020 12:00:00 AM;2045;8;West LA;884;1;761;BRANDISH WEAPON;2004 0443 0421 0334 1822;62;M;W;203;OTHER BUSINESS;200;KNIFE WITH BLADE 6INCHES OR LESS;AA;Adult Arrest;761;998;;;11000 W  PICO                         BL;;34.0383;-118.4325
200810527;06/12/2020 12:00:00 AM;05/29/2020 12:00:00 AM;1600;8;West LA;823;1;310;BURGLARY;1202 0344 0397 1822;66;M;O;118;CONSTRUCTION SITE;;;IC;Invest Cont;310;;;;15200    DE PAUW                      ST;;34.0365;-118.5252
200916841;11/04/2020 12:00:00 AM;10/21/2020 12:00:00 AM;1900;9;Van Nuys;985;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER);344;65;M;W;108;PARKING LOT;;;IC;Invest Cont;331;;;;4500    VAN NUYS                     BL;;34.1531;-118.4487
200713742;09/11/2020 12:00:00 AM;09/11/2020 12:00:00 AM;1327;7;Wilshire;745;1;440;THEFT PLAIN - PETTY ($950 & UNDER);0356 0325;56;F;H;203;OTHER BUSINESS;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;440;;;;800 S  LA BREA                      AV;;34.0601;-118.3448
